Sector,CN_Code,Description
Cement,25070080,Kaolin and other kaolinic clays calcined
Cement,25231000,Cement clinkers
Cement,25232100,White Portland cement
Cement,25232900,Other Portland cement
Cement,25233000,Aluminous cement
Cement,25239000,Other hydraulic cements
Electricity,27160000,Electrical energy
Hydrogen,28041000,Hydrogen
Fertilizers,28080000,Nitric acid sulphonitric acids
Fertilizers,28141000,Anhydrous ammonia
Fertilizers,28142000,Ammonia in aqueous solution
Fertilizers,28151100,Sodium hydroxide solid
Fertilizers,28342100,Potassium nitrate
Fertilizers,31021010,Urea whether or not in aqueous solution
Fertilizers,31021090,Other urea
Fertilizers,31022100,Ammonium sulphate
Fertilizers,31023000,Ammonium nitrate
Fertilizers,31024000,Mixtures of ammonium nitrate with calcium carbonate
Fertilizers,31025000,Sodium nitrate
Fertilizers,31026000,Double salts and mixtures of calcium nitrate and ammonium nitrate
Fertilizers,31029000,Other nitrogenous fertilisers
Fertilizers,31031000,Superphosphates
Fertilizers,31051000,Goods in tablets or similar forms or in packages of a gross weight not exceeding 10 kg
Fertilizers,31052000,Mineral or chemical fertilisers containing nitrogen phosphorus and potassium
Iron_Steel,72011011,Non-alloy pig iron containing 0.5 percent or less of phosphorus
Iron_Steel,72011019,Non-alloy pig iron containing more than 0.5 percent of phosphorus
Iron_Steel,72011050,Non-alloy pig iron containing more than 0.5 percent of phosphorus
Iron_Steel,72012000,Alloy pig iron spiegeleisen
Iron_Steel,72013000,Ferro-phosphorus
Iron_Steel,72021100,Ferro-manganese containing more than 2 percent of carbon
Iron_Steel,72021900,Other ferro-manganese
Iron_Steel,72022100,Ferro-silicon containing more than 55 percent of silicon
Iron_Steel,72022900,Other ferro-silicon
Iron_Steel,72023000,Ferro-silico-manganese
Iron_Steel,72024100,Ferro-chromium containing more than 4 percent of carbon
Iron_Steel,72024900,Other ferro-chromium
Iron_Steel,72025000,Ferro-silico-chromium
Iron_Steel,72026000,Ferro-nickel
Iron_Steel,72027000,Ferro-molybdenum
Iron_Steel,72028000,Ferro-tungsten and ferro-silico-tungsten
Iron_Steel,72029100,Ferro-titanium and ferro-silico-titanium
Iron_Steel,72029200,Ferro-vanadium
Iron_Steel,72029300,Ferro-niobium
Iron_Steel,72029900,Other ferro-alloys
Iron_Steel,72031000,Ferrous products obtained by direct reduction of iron ore
Iron_Steel,72039000,Other spongy ferrous products
Iron_Steel,72041000,Waste and scrap of cast iron
Iron_Steel,72042100,Waste and scrap of stainless steel
Iron_Steel,72042900,Other waste and scrap of alloy steel
Iron_Steel,72043000,Waste and scrap of tinned iron or steel
Iron_Steel,72044100,Turnings shavings chips milling dust and stampings of iron or steel
Iron_Steel,72044900,Other waste and scrap of iron or steel
Iron_Steel,72045000,Remelting scrap ingots of iron or steel
